movieid,title,year,director,actor1,actor2,actor3,actor4,actor5,plot
2515,Children of the Corn II: The Final Sacrifice,1993,David Price,Ryan Bollman,Christie Clark,Terence Knox,Paul Scherrer,Ned Romero,A journalist encounters a deadly cult while investigating the massacre of an out-of-the-way American community's adult population.
5297,"Cat's Meow, The",2002,,,,,,,
5994,Nicholas Nickleby,2002,Douglas McGrath,Charlie Hunnam,Anne Hathaway,Jamie Bell,Christopher Plummer,Romola Garai,Nicholas' cold-hearted uncle Ralph separates his family after his father's demise. Now Nicholas must do whatever it takes to escape the Squeers' school and save his sister from marrying Sir Hawk.
7379,"Alamo, The",2004,John Lee Hancock,Billy Bob Thornton,Dennis Quaid,Jason Patric,Patrick Wilson,Emilio EchevarrÃ?a,"The story revolves around the Texas revolution, where a number of Mexican revolutionaries fought a deadly battle against Dictator General Santa Anna's army."
67665,Anvil! The Story of Anvil,2008,Sacha Gervasi,"Steve ""Lips"" Kudlow",Robb Reiner,Lemmy,Slash,Lars Ulrich,"Canadian heavy-metal band Anvil delivered a highly influential 1982 album that would inspire the likes of Anthrax and Metallica, and then dropped off the map to begin what would become decades of toiling in obscurity. Director and former roadie Sacha Gervasi follows guitarist Steve ""Lips"" Kudlow and drummer Robb Reiner as they stumble through a harrowing European tour and reflect on failure, friendship, resilience and the will to follow even the most impossible of dreams.â€?Â More"
87234,Submarine,2010,Richard Ayoade,Craig Roberts,Yasmin Paige,Sally Hawkins,Paddy Considine,Noah Taylor,"Oliver (Craig Roberts) is a Welsh teen who has some things on his mind. First is losing his virginity before his 16th birthday. He sets out to woo his feisty classmate Jordana (Yasmin Paige). Then Oliver focuses on holding his family together. His father (Noah Taylor), a depressed marine biologist, seems unequal to the task of preventing Oliver's mother (Sally Hawkins) from succumbing to the dubious charms of a spiritual guru (Paddy Considine) from down the road.â€?Â More"
2874,"Pajama Game, The",1957,,Doris Day,John Raitt,Carol Haney,"Eddie Foy, Jr.",Reta Shaw,"The boss of an Iowa pajama factory hires superintendent Sid Sorokin (John Raitt) to help oppose the workers' demand for a seven-and-a-half-cent raise. Sid's handsome, affable presence stirs the jealousy of foreman Vernon Hines, who is dating bookkeeper Gladys Hotchkiss (Carol Haney), and attracts worker ""Babe"" Williams (Doris Day), a strong advocate for the pay increase. Despite liking Babe, Sid resists the workers' sabotage attempt and must decide whether to fire activist Babe.â€?Â More"
3807,Sinbad and the Eye of the Tiger,1977,Sam Wanamaker,Jane Seymour,Patrick Wayne,Taryn Power,Patrick Troughton,Damien Thomas,"Sinbad, the prince of Baghdad, embarks on a journey to free Prince Kassim from an evil enchantment. His journey is sabotaged by Zenobia, an evil witch, who wants her son to be crowned as king."
3945,Digimon: The Movie,2000,,Jeff Nimoy,Joshua Seth,Lara Jill Miller,Brianne Siddall,Colleen Villard,"The Internet becomes a battlefield for the DigiDestined and their Digimon companions, as they embark on their greatest adventure yet. A powerful new Digimon hatches and begins to consume data at an exponential rate. This Internet Digimon rapidly digivolves to its mega form, Diabormon, taking over worldwide communications in the process. With time running out, only the efforts of a worldwide network of kids, plus a new mega-hero Digimon named Omnimon, stand in the way of global disaster.â€?Â More"
6992,Guarding Tess,1994,Hugh Wilson,Nicolas Cage,Shirley MacLaine,Hugh Wilson,Austin Pendleton,Edward Albert,"Doug, a secret service agent, gets assigned to protect Tess, a former first lady. Just when he's had enough of her high-handedness she gets kidnapped. Now he must do whatever it takes to save her."
115617,Big Hero 6,2014,,Ryan Potter,Jamie Chung,T. J. Miller,Scott Adsit,GÃ©nesis RodrÃ?guez,"Hiro, a robotics prodigy, joins hands with Baymax in order to avenge his brother's death. They then team up with Hiro's friends to form a team of high-tech heroes."
212,Bushwhacked,1995,Greg Beeman,Daniel Stern,Jon Polito,Brad Sullivan,Anthony Heald,Ann Dowd,A hapless delivery boy (Daniel Stern) runs from the law after being framed for money-laundering and murder.
4771,Hardball,2001,Brian Robbins,Keanu Reeves,Michael B. Jordan,Diane Lane,DeWayne Warren,Bryan Hearne,"A gambler owes a lot of money, so he strikes a bargain: He'll coach a Little League baseball team from a notorious ghetto if a friend will lend him the money to square his debts."
5999,Heavy Metal 2000,2000,,Julie Strain,Billy Idol,Michael Ironside,Sonja Ball,Arthur Holden,"When Tyler (Michael Ironside) discovers what could be a legendarily evil entity, he transforms into a power-hungry warlord bent on conquering death. After traveling to a distant planet that may hold the key to his plans, Tyler wipes out most of a colony's peaceful inhabitants. Only Julie (Julie Strain Eastman), a formidable female warrior, is left behind. Vowing revenge, Julie sets out to find Tyler with the help of a mysterious alien (Billy Idol) who may have a plan of his own.â€?Â More"
6374,"In-Laws, The",2003,Andrew Fleming,Michael Douglas,Ryan Reynolds,Albert Brooks,Robin Tunney,Lindsay Sloane,"The daughter of a mild-mannered foot doctor is about to get married. Just prior to her wedding, the doctor discovers that her would-be in-laws are international smugglers."
6750,Anything Else,2003,Woody Allen,Woody Allen,Christina Ricci,Jason Biggs,Danny DeVito,Jimmy Fallon,A writer (Jason Biggs) has problems with his live-in girlfriend (Christina Ricci) and an obsessive teacher (Woody Allen) with a history of mental illness.
6872,"House of the Dead, The",2003,Uwe Boll,Erica Durance,Ona Grauer,Jonathan Cherry,Sonya Salomaa,Kira Clavell,"Simon (Tyron Leitso) and Greg (Will Sanderson) meet a group of friends and set out to attend a rave on a remote island. When they miss the ferry, they decide to ride with Kirk (JÃ?rgen Prochnow), a smuggler. They find the island deserted and discover that the partygoers have been killed by zombies. Now, the group must evade the deadly creatures and try to find safety. However, the only means of escape -- Kirk's boat -- has been overrun, forcing the survivors to ward off the undead.â€?Â More"
40966,"Libertine, The",2004,Laurence Dunmore,Johnny Depp,John Malkovich,Rosamund Pike,Samantha Morton,Rupert Friend,"John Wilmot a.k.a. the Earl of Rochester, is a 17th-century poet with an ugly past. Charles II assigns him a task to design a play for the French ambassador. Will John live up to the expectations?"
45106,American Dreamz,2006,Paul Weitz,Hugh Grant,Mandy Moore,Dennis Quaid,Willem Dafoe,Jennifer Coolidge,"A wildly popular television singing contest, captures the country's attention, and as the competition looks to be between a young Midwestern gal and a show tunes-loving young man."
80590,Wall Street: Money Never Sleeps,2010,Oliver Stone,Michael Douglas,Shia LaBeouf,Oliver Stone,Carey Mulligan,Josh Brolin,"Gordon Gecko, a former Wall Street corporate raider, joins forces with Jacob Moore, a top proprietary trader at Keller Zabel Investments, to avenge the death of Jacob's boss, Louis Zabel."
2481,My Name Is Joe,1998,Ken Loach,Peter Mullan,Gary Lewis,Louise Goodall,David McKay,Lorraine McIntosh,Criminal and social elements affect the relationship of an unemployed Scot (Peter Mullan) and a community health worker (Louise Goodall).
4195,"Abominable Dr. Phibes, The",1971,Robert Fuest,Vincent Price,Virginia North,Joseph Cotten,Caroline Munro,Terryâ€‘Thomas,"While Dr. Phibes' colleagues believe that he was killed, they get a shock when they find out that he is alive and is on a revenge seeking spree, killing the doctors responsible for his wife's death."
5498,Red Beard ,1965,Akira Kurosawa,Toshiro Mifune,YÅ«zÅç Kayama,Takashi Shimura,KyÅçko Kagawa,Tsutomu Yamazaki,"Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto (YÃ»zÃ´ Kayama) is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard (ToshirÃ´ Mifune). Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute (Terumi Niki) rescued from a local brothel.â€?Â More"
7449,Godsend,2004,Nick Hamm,Robert De Niro,Rebecca Romijn,Cameron Bright,Greg Kinnear,Merwin Mondesir,"After Paul Duncan (Greg Kinnear) and his wife, Jessie (Rebecca Romijn-Stamos), lose their young son, Adam (Cameron Bright), in an accident, they are approached by Richard Wells (Robert De Niro), a fertility doctor. Wells believes that he can clone Adam and gives Paul and Jessie the option to let him try, but only if they start life over elsewhere. Adam's clone proves to be identical to the deceased boy, but, when he reaches his 8th birthday, things begin to go horribly wrong.â€?Â More"
7743,Explorers,1985,Joe Dante,River Phoenix,Ethan Hawke,Jason Presson,Amanda Peterson,Bobby Fite,"Young Ben Crandall (Ethan Hawke) spends his free time watching sci-fi films, playing video games and reading comic books. Surprisingly, his affinity for all things fantastical yields a real result -- when he has a vivid dream about technology, his science-loving friend Wolfgang Muller (River Phoenix) manages to create a working spacecraft. Joined by their buddy Darren Woods (Jason Presson), the boys take off into outer space and encounter some very odd extraterrestrial life.â€?Â More"
27478,Ali G Indahouse,2002,Mark Mylod,Sacha Baron Cohen,Rhona Mitra,Martin Freeman,Kellie Bright,Charles Dance,"Ali G unwittingly becomes a pawn in an evil plot to overthrow the Prime Minister. However, he ends up becoming the voice of the nation making the Prime Minister and his government popular."
49280,Bobby,2006,Emilio Estevez,Emilio Estevez,Lindsay Lohan,Demi Moore,Robert F. Kennedy,Sharon Stone,"A routine day in the lives of a group of people, assembled at the Ambassador Hotel in Los Angeles, becomes extraordinary in the wake of the US Senator Robert F. Kennedy's assassination there."
65188,Dear Zachary: A Letter to a Son About His Father,2008,Kurt Kuenne,,,,,,
5472,1776,1972,Peter H. Hunt,William Daniels,Ken Howard,Howard Da Silva,Blythe Danner,John Cullum,Documenting the founding fathers' struggle to draft the Declaration of Independence of America.
6464,Good Burger,1997,Brian Robbins,Kel Mitchell,Kenan Thompson,Dan Schneider,Abe Vigoda,Linda Cardellini,"A high student wrecks his teacher's car, to pay back for the damages; he is forced to get a summer job at a fast food restaurant. His job is at stake when a new restaurant opens up next door."
7932,Dark Days,2000,Marc Singer,,,,,,
27397,Joint Security Area ,2000,,,,,,,
68269,"Young Victoria, The",2009,Jean-Marc VallÃ©e,Emily Blunt,Rupert Friend,Paul Bettany,Miranda Richardson,Jim Broadbent,"The film portrays the early childhood, teen and the following turbulent years of a young princess who came to be known as Queen Victoria. It also follows her enduring romance with Prince Albert."
1869,Black Dog,1998,Kevin Hooks,Patrick Swayze,Randy Travis,Meat Loaf,Brenda Strong,Gabriel Casseus,"An ex-con takes a job truck driving across the country. However, the truck is filled with illegal weapons and now he must fight to save his family. The stakes are high as gun runners, government agents and a fleet of monstrous 18-wheelers pursue him in an intense highway duel."
49347,Fast Food Nation,2006,Richard Linklater,Avril Lavigne,Ethan Hawke,Greg Kinnear,Catalina Sandino Moreno,Bruce Willis,"Don Henderson (Greg Kinnear), a marketing executive for a national burger chain must leave blissful ignorance behind when his boss gives him an unsavory assignment: Investigate scientific findings that cow manure is contaminating the meat used in the company's top-selling hamburger. Don's search takes him from his comfortable office to a vast feedlot, to the inner rooms of a slaughterhouse manned by illegal immigrants, who must do all the dirty work.â€?Â More"
1612,"Kiss Me, Guido",1997,Tony Vitale,Nick Scotti,Anthony Barrile,Craig Chester,Anthony DeSando,Jennifer Esposito,"Affable but clueless Bronx, N.Y., native Frankie (Nick Scotti) is an aspiring actor who moves to Manhattan after discovering his fiancÃ©e is sleeping with his brother (Anthony DeSando). Not understanding that the want-ad shorthand ""GWM seeks same"" means Gay White Male -- he thinks it's Guy With Money -- Frankie moves in with actor Warren (Anthony Barrile). When Warren has to drop out of a role, Frankie is unsure whether he's ready to take over the part, which includes a man-to-man kiss.â€?Â More"
50806,Norbit,2007,Brian Robbins,Eddie Murphy,Thandie Newton,Terry Crews,Charlie Murphy,Cuba Gooding Jr.,"A meek Norbit rediscovers his love for a childhood sweetheart, but his mean wife is determined not to let him go till she wrests control of a restaurant from his foster father."
3064,Poison Ivy: New Seduction,1997,Kurt Voss,Jaime Pressly,Athena Massey,Megan Edwards,Michael Des Barres,Greg Vaughan,"Ivy's beautiful but evil sister Violet returns to her childhood home and begins to wreck havoc in her former best friend Joy's life, shattering her family's happiness."
5069,Escaflowne: The Movie ,2000,,,,,,,
6660,"Red Shoes, The",1948,,Moira Shearer,Anton Walbrook,Marius Goring,LÃ©onide Massine,Robert Helpmann,A young ballerina is torn between her art and her romance with a young composer.
99007,Warm Bodies,2013,Jonathan Levine,Nicholas Hoult,Teresa Palmer,Dave Franco,Analeigh Tipton,John Malkovich,"At a scavenger party, R, a zombie, meets Julie and feels strangely protective of her. As he begins to regain his human tendencies, their love is threatened by the very difference of their existence."
3544,Shakes the Clown,1992,,,,,,,
58490,Miss Pettigrew Lives for a Day,2008,Bharat Nalluri,Amy Adams,Lee Pace,Frances McDormand,Shirley Henderson,CiarÃ¡n Hinds,"Dismissed for the fourth time, an improvised governess was desperately in need of work. However, in haste, she mistakenly takes up a job for a celebrity, which ends up changing her life forever."
3600,Blue Hawaii,1961,Norman Taurog,Elvis Presley,Joan Blackman,Angela Lansbury,Jenny Maxwell,Nancy Walters,Just out of the army Chad is back in Hawaii and looks forward to being with his buddies and his girlfriend but his father wants him to work at a fruit company.
7792,"Parallax View, The",1974,Alan J. Pakula,Warren Beatty,Paula Prentiss,William Daniels,Hume Cronyn,Walter McGinn,"After a presidential candidate is assassinated, political reporter Joe Frady (Warren Beatty) begins to suspect that the mysterious Parallax Corporation may be involved. As he investigates, others who share his suspicions start turning up dead, including his editor, Bill Rintels (Hume Cronyn). Eventually, Frady uncovers a conspiracy bigger than anyone expected and must race to prevent the corporation's next big hit as this political thriller plays out in an explosive game of cat and mouse.â€?Â More"
7812,Babylon 5: Thirdspace,1998,JesÃºs Salvador TreviÃ±o,Bruce Boxleitner,Mira Furlan,Claudia Christian,Richard Biggs,Jeff Conaway,"A mysterious artifact endangers the lives of those (Bruce Boxleitner, Claudia Christian, Shari Belafonte) aboard the space station Babylon 5."
59333,Made of Honor,2008,Paul Weiland,Patrick Dempsey,Michelle Monaghan,Kevin McKidd,Sydney Pollack,Busy Philipps,"Tom Bailey and Hannah are best friends from college. When she tells him she is engaged, he realises that he is in love with her. He resolves to win her over."
72554,Cell 211 ,2009,,,,,,,
243,Gordy,1995,Mark Lewis,,,,,,
3539,"Filth and the Fury, The",2000,Julien Temple,John Lydon,Sid Vicious,Steve Jones,Malcolm McLaren,Paul Cook,"Assembled from unseen archive footage, rare offcuts and masses of hilarious junk-culture detail from the pre-punk '70s, this inspired collage is as much passionate social history as rockumentary. Intercutting a touching, never-before-seen Sid Vicious interview with contemporary quotes from the surviving Pistols -- wittily filmed, like renegade villains, in silhouette -- Temple exposes the band's human side as never before.â€?Â More"
5002,Fritz the Cat,1972,Ralph Bakshi,Ralph Bakshi,Skip Hinnant,Rosetta LeNoire,Phil Seuling,John McCurry,"In the hands of writer and director Ralph Bakshi, a popular underground comics character was the inspiration for the first X-rated animated feature in Hollywood history, over the strenuous objections of its creator, cartoonist Robert Crumb. Fritz is a feline college student of New York City in the '60s, using hippie buzzwords and fashion to score easy sex and drugs. After smoking some strong marijuana in Harlem, Fritz hallucinates and ignites a shooting incident with the police, resulting in the death of his friend Duke. Fritz flees across country in a Volkswagen Bug with a girlfriend and encounters a heroin addict biker rabbit and bomb-making terrorist radicals, obvious references to the Hell's Angels and the Black Panthers, respectively. A trippy journey through its anti-establishment times, Fritz the Cat (1972) was viewed as a must-see novelty, a radical departure from the juvenile, saccharine type of animation with which America was familiar. Nevertheless, the film was opposed by Crumb, who felt that his work had been bastardized. The film was followed by a sequel, The Nine Lives of Fritz the Cat (1974).~ Karl Williams, All Movie Guideâ€?Â More"
5638,Godzilla vs. Mothra ,1964,,,,,,,
7026,Summer School,1987,Carl Reiner,Mark Harmon,Kirstie Alley,Courtney Thorneâ€‘Smith,Dean Cameron,Fabiana Udenio,"Apathetic gym teacher Freddy Shoop (Mark Harmon) is ready to take the summer off in Hawaii, but he's forced to either teach summer-school English or risk losing his tenure. Now he's stuck teaching a group of unmotivated students as disappointed to be stuck in school over the summer as he is. But with the help of a friendly history teacher (Kirstie Alley), Shoop is at least learning how to act the part of supportive mentor and perhaps even learning something about himself as well.â€?Â More"
8532,"Door in the Floor, The",2004,Tod Williams,Kim Basinger,Mimi Rogers,Jeff Bridges,Elle Fanning,Jon Foster,"The lives of Ted (Jeff Bridges) and Marion Cole (Kim Basinger) are thrown into disarray when their two adolescent sons die in a car wreck. Marion withdraws from Ted and Ruth (Elle Fanning), the couple's daughter. Ted, a well-known writer, hires as his assistant a student named Eddie (Jon Foster), who looks oddly similar to one of the Coles' dead sons. The couple separate, and Marion begins an affair with Eddie, while Ted has a dalliance with his neighbor Evelyn (Mimi Rogers).â€?Â More"
61401,"Spirit, The",2008,Frank Miller,Scarlett Johansson,Eva Mendes,Gabriel Macht,Samuel L. Jackson,Paz Vega,"A rookie cop, Denny Colt, returns as a hero in the form of a spirit to track down his cold-hearted killer, The Octopus. In his mission, he also intends to wipe clean the city of all its ill elements."
6909,"Eye, The ",2002,,,,,,,
71466,City Island,2009,Raymond De Felitta,Andy GarcÃ?a,Julianna Margulies,Steven Strait,Dominik GarcÃ?aâ€‘Lorido,Ezra Miller,Vince and his family lead private lives which makes them estranged from each other's existence. Vince being the head of the family brings home an ex-convict home which makes their life more miserable.
976,"Farewell to Arms, A",1932,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,Mary Philips,Jack La Rue,"During the World War I, Frederick Henry, a volunteer with the Italian forces, and Catherine Barkley, a Red Cross nurse, are in love. Will their romance stay alive amidst all the chaos and confusion?"
4337,"Sand Pebbles, The",1966,Robert Wise,Steve McQueen,Candice Bergen,Richard Attenborough,Richard Crenna,Emmanuelle Arsan,"Amidst China's rising nationalism in 1926, a naval engineer, Jake Holman, is framed in the murder of his friend. Jake must prove his innocence and also rescue the American missionaries."
4947,"Gauntlet, The",1977,Clint Eastwood,Clint Eastwood,Sondra Locke,Pat Hingle,Bill McKinney,William Prince,"A cop who has seen better days, hard-living Ben Shockley (Clint Eastwood) is recruited to escort Augustina ""Gus"" Mally (Sondra Locke), a key witness in a mob trial, from Las Vegas to Phoenix. Gus is a beautiful but coarse call girl who claims to have information that makes the two highly expendable targets. Ben starts to believe her after numerous attempts are made to kill them as they travel across the unforgiving desert, pursued by angry bikers and corrupt police officers.â€?Â More"
6442,Belle √©poque,1992,Fernando Trueba,PenÃ©lope Cruz,Maribel VerdÃº,Ariadna Gil,Jorge Sanz,Fernando Fernan Gomez,"As Spain sits on the precipice of civil war in 1930, Fernando (Jorge Sanz) opts to go AWOL from the army. He soon happens upon the country home of the rich Manolo (Fernando FernÃ¡n GÃ?mez), who invites Fernando to stay with him. Fernando is then introduced to Manolo's daughters -- Clara (Miriam DÃ?az-Aroca), Violeta (Ariadna Gil), Rocio (Maribel VerdÃº) and Luz (PenÃ©lope Cruz) -- and has close encounters with each of them, but a problem arises when he cannot decide which beauty to marry.â€?Â More"
7316,Confessions of a Teenage Drama Queen,2004,Sara Sugarman,Lindsay Lohan,Megan Fox,Adam Garcia,Alison Pill,Glenne Headly,"After moving to New Jersey, Lola bags a coveted role in a school play, which earns her the wrath of Carla, the most popular girl in school, who will do anything to ruin Lola's life."
58301,Funny Games U.S.,2007,Michael Haneke,Naomi Watts,Michael Pitt,Tim Roth,Brady Corbet,Devon Gearhart,"When Ann, husband George and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive."
2780,"Raven, The",1963,Roger Corman,Vincent Price,Boris Karloff,Peter Lorre,Jack Nicholson,Hazel Court,The sorcerer Craven learns from fellow magician Dr. Bedlo that his supposedly dead wife is alive and that she lives at the castle of master sorcerer Dr. Scarabus. Will Craven find his wife?
3425,Mo' Better Blues,1990,Spike Lee,Spike Lee,Denzel Washington,Wesley Snipes,Cynda Williams,Branford Marsalis,"Financially irresponsible Giant (Spike Lee) manages a jazz group, but his sax player, Shadow (Wesley Snipes), wants to replace him with a better businessman. Bleak (Denzel Washington), the band's trumpeter, then tries to defend his close pal Giant, leading to a power struggle between the two musicians. Meanwhile, as Bleak tries to straighten things out with his band mates and manager, he also must choose to be with either sweet teacher Indigo (Joie Lee) or sultry singer Clarke (Cynda Williams).â€?Â More"
3859,"Eyes of Tammy Faye, The",2000,,RuPaul,Tammy Faye Messner,Jim Bakker,Roe Messner,Jim J. Bullock,"Twelve years after the scandalous collapse of the multimillion dollar Christian empire built by Jim and Tammy Faye Bakker, ""The Eyes Of Tammy Faye"" tells the fascinating inside story of the rise, fall and resurrection of ""the Queen of the Eyelashes."" One of the most adored and reviled women of her time, the film follows her amazing tale from her love at first sight encounter with Jim, through the glory days of PTL, to the scandal that brought both their empire and their family tumbling down.â€?Â More"
4092,Cherry 2000,1987,Steve De Jarnatt,Melanie Griffith,Pamela Gidley,David Andrews,Laurence Fishburne,Tim Thomerson,"Successful businessman Sam Treadwell, who is in search of a perfect woman, hires a robotic wife. Gradually, he discovers that a real woman is irreplaceable."
5529,Serving Sara,2002,Reginald Hudlin,Elizabeth Hurley,Matthew Perry,Amy Adams,Bruce Campbell,Cedric the Entertainer,"When Sara (Elizabeth Hurley) is served divorce papers while she is in New York, she is stunned. Not about to lose the fortune she amassed with her self-serving Texan husband, she makes an offer to her process server, Joe (Matthew Perry), that sets them off on a wild trip across the country."
6433,"Man with the Movie Camera, The ",1929,,,,,,,
7087,"Passage to India, A",1984,David Lean,Judy Davis,Peggy Ashcroft,Victor Banerjee,Alec Guinness,James Fox,"During a trip to India, Adela accuses Dr Aziz Ahmed, her Indian acquaintance, of trying to rape her, which escalates and jeopardises the relationship between Britain and India."
88235,"Guard, The",2011,John Michael McDonagh,Brendan Gleeson,Don Cheadle,Mark Strong,Liam Cunningham,Fionnula Flanagan,A vulgar Irish cop (Brendan Gleeson) and a straight-laced American FBI agent (Don Cheadle) uncover police corruption among the former's superiors while probing a drug-trafficking ring.
114180,"Maze Runner, The",2014,Wes Ball,Dylan O'Brien,Thomas Brodieâ€‘Sangster,Kaya Scodelario,Will Poulter,Ki Hong Lee,"Thomas loses his memory and finds himself trapped in a massive maze called the Glade. With no memory of his life, Thomas has a chance to escape the maze and regain his memory."
2062,"Governess, The",1998,Sandra Goldbacher,Minnie Driver,Jonathan Rhys Meyers,Tom Wilkinson,Florence Hoath,Harriet Walter,"Following her father's murder, a London Jew, Rosina da Silva (Minnie Driver), reinvents herself as a Protestant governess on a remote Scottish island. Schooling the Cavendish family's daughter, Clementina (Florence Hoath), she soon incites the amorous passions of patriarch Charles (Tom Wilkinson), a scientist obsessed with capturing the photographic image. When his rebellious son Henry (Jonathan Rhys-Meyers) arrives home, complications arise, emotions entangle and secrets inevitably spill out.â€?Â More"
4721,American Outlaws,2001,Les Mayfield,Colin Farrell,Scott Caan,Ali Larter,Gabriel Macht,Kathy Bates,The residents of a small town unite to foil the plans of a conniving businessman intending to move them out to make way for a railroad.
42197,Keeping Mum,2005,Niall Johnson,Rowan Atkinson,Kristin Scott Thomas,Maggie Smith,Patrick Swayze,Tamsin Egerton,"Walter Goodfellow, a vicar, is so busy composing an ideal sermon that he doesn't realise that his family needs him badly. However, things take a turn with the arrival of his new housekeeper."
48560,Running With Scissors,2006,,,,,,,
64997,War of the Worlds,2005,Steven Spielberg,Tom Cruise,Dakota Fanning,Justin Chatwin,Tim Robbins,Miranda Otto,"Ray Ferrier, a dockworker, and his children are all set to spend a weekend together. But an alien tripod descends on Earth, threatening to wipe out humanity."
2876,Thumbelina,1994,,,,,,,
4555,Torch Song Trilogy,1988,Paul Bogart,Harvey Fierstein,Matthew Broderick,Anne Bancroft,Brian Kerwin,Eddie Castrodad,"Arnold Beckoff (Harvey Fierstein) is looking for love and acceptance, but as a gay man working as a female impersonator in 1970s New York City, neither come easily. After a series of heartaches, Arnold believes he has found the love of his life in Alan (Matthew Broderick), and the couple make plans to adopt. But when tragedy strikes, Arnold's life is shaken to its very core, leading to a confrontation with his overbearing mother (Anne Bancroft), who has never approved of her son's lifestyle.â€?Â More"
5686,Russian Ark ,2002,,,,,,,
8591,"Philadelphia Experiment, The",1984,Stewart Raffill,Michael ParÃ©,Nancy Allen,Bobby Di Cicco,Eric Christmas,Kene Holliday,"In 1943, a top-secret experiment aboard a Navy destroyer backfires and two sailors are propelled to 1984."
8620,"Exterminating Angel, The ",1962,,,,,,,
25923,Great Expectations,1946,David Lean,John Mills,Jean Simmons,Alec Guinness,Valerie Hobson,Anthony Wager,"Great Expectations is a 1946 British film directed by David Lean, based on the novel by Charles Dickens and starring John Mills, Bernard Miles, Finlay Currie, Jean Simmons, Martita Hunt, Alec Guinness and Valerie Hobson. Wikipedia"
27410,Conspiracy,2001,Frank Pierson,Kenneth Branagh,Stanley Tucci,Colin Firth,Tom Hiddleston,David Threlfall,A body of officials belonging to the Nazi government meet at the Wannsee Conference to implement the last phase of the Holocaust.
71205,Jennifer's Body,2009,Karyn Kusama,Megan Fox,Amanda Seyfried,Adam Brody,Johnny Simmons,Chris Pratt,"Although quite unlike each other, Jennifer and Needy are best friends. When Jennifer develops a mysterious liking for male, human blood, Needy must stop her before she gets to her boyfriend Chip."
659,Purple Noon ,1960,,,,,,,
3217,"Star Is Born, A",1937,,Janet Gaynor,Fredric March,Adolphe Menjou,May Robson,Lionel Stander,A fading matinee idol marries the young beginner he's shepherded to stardom.
3898,Bait,2000,Antoine Fuqua,Jamie Foxx,David Morse,Doug Hutchison,Kimberly Elise,Robert Pastorelli,"Alvin Sanders is an unwitting pawn caught between the murderous Bristol, an elusive computer genius, a robbery's mastermind and a UD Treasury agent, Clenteen."
4578,Chances Are,1989,Emile Ardolino,Robert Downey Jr.,Cybill Shepherd,Mary Stuart Masterson,Ryan O'Neal,Christopher McDonald,"Alex, a young man, is in love with Corinne, a student. When Alex meets Corinne's mother, memories come rushing to him about his past life as a young lawyer who happens to be Corinne's father."
6732,"Hello, Dolly!",1969,Gene Kelly,Barbra Streisand,Louis Armstrong,Walter Matthau,Michael Crawford,Marianne McAndrew,"Dolly, a widowed matchmaker, travels to Yonkers, only to woo Horace, an unmarried millionaire. There she learns that Horace loves Irene, a milliner. Will Dolly succeed in winning Horace's love?"
3563,"Crow: Salvation, The",2000,Bharat Nalluri,Eric Mabius,Kirsten Dunst,Jodi Lyn O'Keefe,Fred Ward,William Atherton,"Alex Corvis (Eric Mabius) is falsely convicted of brutally stabbing his girlfriend Lauren to death. He maintains his innocence and insists that Lauren was killed by a man with distinctive scars on his body but the police cannot find any trace of him. After three years on death row, Alex is electrocuted in a messy execution and shortly after, his guardian crow appears and resurrects him. With the help of Lauren's sister Erin (Kirsten Dunst), the Crow begins his hunt for the killer.â€?Â More"
4471,Arthur 2: On the Rocks,1988,Bud Yorkin,Dudley Moore,Liza Minnelli,John Gielgud,Geraldine Fitzgerald,Cynthia Sikes,"In this sequel, Arthur manages to lose his entire $750 million fortune. Will the former millionaire playboy be able to survive as a broke, unemployable alcoholic."
7708,Bedazzled,1967,Stanley Donen,Raquel Welch,Dudley Moore,Peter Cook,Eleanor Bron,Robert Russell,"Stanley Moon (Dudley Moore) is a bumbling short-order cook, infatuated with Margaret (Eleanor Bron), the statuesque waitress he works with at Wimpy Burger in London. On the verge of suicide, he meets George Spiggott (Peter Cook), the devil, who, in return for his soul, grants him seven wishes to woo the challenging Margaret. Despite the wishes and the advice of the Seven Deadly Sins, including Lilian Lust (Raquel Welch), Stanley can't seem to win his love and shake the meddling Spiggott.â€?Â More"
7817,Zardoz,1974,John Boorman,Sean Connery,Charlotte Rampling,Sara Kestelman,John Alderton,Sally Anne Newton,"In the far future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements."
8011,"Weather Underground, The",2002,,Bill Ayers,Bernardine Dohrn,Mark Rudd,Lili Taylor,Naomi Jaffe,The Weather Underground is a 2002 documentary film based on the rise and fall of the American radical organization The Weathermen. Wikipedia
